,Day,Plate,Well,Culture,Media,Growth Rate,Time to Max Growth,Saturation OD,Rsq
241,1,Plate 3,E2,932,TSB,1.179496345,3,1.2426473,0.996804789
242,1,Plate 3,E3,298,TSB,0.730913402,4,1.039558545,0.999790906
243,1,Plate 3,E4,299,TSB,1.013099725,2.666666667,1.037998348,0.998416693
244,1,Plate 3,E5,341,TSB,1.192170226,3.166666667,1.045712001,0.997693681
245,1,Plate 3,E6,933,TSB,1.246547602,2.666666667,1.318413033,0.997648727
246,1,Plate 3,E7,305,TSB,0,18.01666667,0.026539951,0
247,1,Plate 3,E8,306,TSB,0,18.01666667,0.02414037,0
248,1,Plate 3,E9,934,TSB,1.132939943,3,1.344011864,0.996967437
249,1,Plate 3,E10,308,TSB,0.807174905,2.5,1.019284071,0.995505451
250,1,Plate 3,E11,935,TSB,0.799547313,2,1.217376613,0.99750362
251,1,Plate 3,E12,937,TSB,0.753729596,3,1.028998751,0.999081303
252,1,Plate 3,F1,316,TSB,1.244536291,3,0.961428295,0.9953727
253,1,Plate 3,F2,938,TSB,0.774004695,3,1.047695382,0.998585065
254,1,Plate 3,F3,944,TSB,0,18.01666667,0.03012202,0
255,1,Plate 3,F4,319,TSB,0.754232912,2.5,0.992994823,0.998692887
256,1,Plate 3,F5,322,TSB,0.864421946,3,1.070836327,0.997164922
257,1,Plate 3,F6,945,TSB,1.202681345,2.5,0.795005298,0.996611239
258,1,Plate 3,F7,947,TSB,1.077479539,2.5,0.947701633,0.997735923
259,1,Plate 3,F8,323,TSB,0.764501599,3.833333333,1.007833477,0.999324924
260,1,Plate 3,F9,0,TSB,0,18.01666667,0.021,0
261,1,Plate 3,F10,954,TSB,0,18.01666667,0.028562273,0
262,1,Plate 3,F11,332,TSB,0.749476231,2.666666667,0.978713013,0.997481929
263,1,Plate 3,F12,956,TSB,0,18.01666667,0.018272976,0
264,1,Plate 3,G1,333,TSB,0.836995565,3.666666667,1.061713517,0.99661663
265,1,Plate 3,G2,334,TSB,0.836589993,3.5,1.039713088,0.999829147
266,1,Plate 3,G3,958,TSB,0,18.01666667,0.031345695,0
267,1,Plate 3,G4,335,TSB,0.830610013,3.166666667,0.972710217,0.999935179
268,1,Plate 3,G5,336,TSB,0,18.01666667,0.025833266,0
269,1,Plate 3,G6,229,TSB,0.753673642,3.833333333,1.032983199,0.999696188
270,1,Plate 3,G7,233,TSB,0.8029866,3.5,1.072569849,0.999017607
271,1,Plate 3,G8,257,TSB,0.885805104,2.833333333,1.023428173,0.997831008
272,1,Plate 3,G9,284,TSB,1.002371739,2.5,1.047995636,0.997006307
273,1,Plate 3,G10,341,TSB,1.159589328,3.166666667,1.039283689,0.99768354
274,1,Plate 3,G11,959,TSB,0.655684396,6.166666667,0.563720196,0.995707852
275,1,Plate 3,G12,337,TSB,0.927132371,2.833333333,1.038136891,0.998100693
276,1,Plate 3,H1,338,TSB,0.873512039,3.333333333,1.000712184,0.999684116
